evacuationobjective_accepted1 | Every colonised planet you visit will have civilians in need of evacuation. | Каждая колонизированная планета, которую вы посетите, будет иметь гражданских, нуждающихся в эвакуации.
evacuationobjective_accepted2 | You will need to expand your habitation deck and even upgrade to a larger ship eventually. | Вам нужно будет расширить вашу жилую палубу и даже перейти на корабль побольше в конечном итоге.
evacuationobjective_award | EVACUATION REWARD | НАГРАДА ЗА ЭВАКУАЦИЮ
evacuationobjective_description1 | Some of our scientists don't believe the void collapse can ever be stopped. | Некоторые из наших ученых не верят, что коллапс пустоты когда-либо можно будет остановить.
evacuationobjective_description2 | If that's true then billions of people are going to need evacuation from our home planets. | Если это правда, то миллиарды людей потребуют эвакуации с наших родных планет.
evacuationobjective_description3 | There has never been an evacuation of so many people at once. | Никогда не было эвакуации такого количества людей одновременно.
evacuationobjective_description4 | And we don't even know where we can go that will be safe. | И мы даже не знаем, куда мы можем отправиться, чтобы быть в безопасности.
evacuationobjective_nextbonus | Next bonus upon evacuation of *X civilians : $*Y. | Следующий бонус при эвакуации *X гражданских: $*Y.
evacuationobjective_success | Evacuated *X civilians | Эвакуировано *X гражданских
evacuationobjective_successbonus | Evacuated *X civilians. Funding bonus $*Y. | Эвакуировано *X гражданских. Бонус финансирования $*Y.
evacuationobjective_title | SPECIAL MISSION: EVACUATION | ОСОБАЯ МИССИЯ: ЭВАКУАЦИЯ
evacuationobjective_total | You have evacuated *X civilians from doomed home worlds. | Вы эвакуировали *X гражданских с обреченных родных миров.
